Time,Torque,Temp_1,Temp_2
1628271969.27, -5.27,74.44,74.12
1628271969.32, -5.27,74.44,74.13
1628271969.36, -5.27,74.45,74.13
1628271969.41, -5.27,74.44,74.11
1628271969.45, -5.27,74.45,74.12
1628271969.49, -5.27,74.45,74.12
1628271969.54, -5.27,74.45,74.12
1628271969.58, -5.27,74.44,74.13
1628271969.63, -5.27,74.45,74.15
1628271969.67, -5.27,74.42,74.14
1628271969.72, -5.27,74.43,74.14
1628271969.76, -5.27,74.43,74.13
1628271969.81, -5.27,74.44,74.14
1628271969.85, -5.27,74.44,74.15
1628271969.90, -5.27,74.43,74.14
1628271969.94, -5.27,74.43,74.15
1628271969.98, -5.77,74.43,74.14
1628271970.03, -5.77,74.45,74.12
1628271970.07, -5.77,74.44,74.12
1628271970.12, -5.77,74.45,74.13
1628271970.16, -5.77,74.45,74.13
1628271970.21, -5.77,74.42,74.12
1628271970.25, -5.77,74.44,74.13
1628271970.30, -5.77,74.44,74.12
1628271970.34, -5.77,74.43,74.13
1628271970.39, -5.77,74.44,74.13
1628271970.43, -5.77,74.42,74.14
1628271970.47, -5.77,74.43,74.14
1628271970.52, -5.77,74.43,74.14
1628271970.56, -5.77,74.44,74.14
1628271970.61, -5.77,74.45,74.14
1628271970.65, -5.77,74.43,74.14
1628271970.70, -5.77,74.43,74.14
1628271970.74, -5.77,74.44,74.12
1628271970.79, -5.77,74.45,74.11
1628271970.83, -5.77,74.44,74.13
1628271970.88, -5.77,74.46,74.13
1628271970.92, -5.77,74.45,74.12
1628271970.97, -5.77,74.45,74.14
1628271971.01, -5.77,74.42,74.12
1628271971.06, -5.77,74.44,74.11
1628271971.10, -5.77,74.44,74.15
1628271971.15, -5.77,74.43,74.13
1628271971.19, -5.77,74.43,74.14
1628271971.24, -5.77,74.44,74.14
1628271971.28, -5.77,74.45,74.16
1628271971.33, -5.77,74.43,74.15
1628271971.37, -5.77,74.43,74.15
1628271971.42, -5.77,74.43,74.14
1628271971.46, -5.77,74.46,74.13
1628271971.51, -5.77,74.44,74.13
1628271971.55, -5.77,74.45,74.15
1628271971.59, -5.77,74.45,74.14
1628271971.64, -5.77,74.44,74.15
1628271971.68, -5.77,74.44,74.13
1628271971.73, -5.77,74.45,74.12
1628271971.77, -5.77,74.45,74.12
1628271971.82, -5.77,74.44,74.14
1628271971.86, -5.77,74.45,74.13
1628271971.91, -5.77,74.43,74.13
1628271971.95, -5.77,74.45,74.14
1628271972.00, -5.77,74.44,74.13
1628271972.04, -5.77,74.44,74.15
1628271972.09, -5.77,74.45,74.15
1628271972.13, -5.77,74.43,74.16
1628271972.18, -5.77,74.44,74.15
1628271972.22, -5.77,74.44,74.14
1628271972.27, -5.77,74.44,74.14
1628271972.31, -5.77,74.44,74.13
1628271972.36, -5.77,74.45,74.12
1628271972.40, -5.77,74.46,74.13
1628271972.45, -5.77,74.47,74.13
