Time,Current,Velocity
1628271895.23,-529,-41160
1628271895.25,-535,-41100
1628271895.27,-540,-41100
1628271895.29,-543,-41100
1628271895.31,-557,-41100
1628271895.33,-585,-41100
1628271895.35,-485,-41100
1628271895.37,-607,-41160
1628271895.39,-454,-41160
1628271895.41,-490,-41160
1628271895.43,-550,-41160
1628271895.45,-522,-41160
1628271895.47,-522,-41160
1628271895.49,-482,-41160
1628271895.51,-624,-41160
1628271895.52,-520,-41100
1628271895.55,-510,-41100
1628271895.57,-600,-41100
1628271895.59,-545,-41040
1628271895.61,-541,-41100
1628271895.63,-545,-41100
1628271895.65,-629,-41100
1628271895.67,-470,-41100
1628271895.69,-495,-41100
1628271895.71,-612,-41100
1628271895.73,-536,-41100
1628271895.75,-516,-41100
1628271895.77,-502,-41040
1628271895.79,-620,-41040
1628271895.81,-499,-41040
1628271895.83,-486,-41040
1628271895.85,-594,-41100
1628271895.87,-544,-41160
1628271895.89,-516,-41160
1628271895.91,-507,-41160
1628271895.93,-640,-41160
1628271895.95,-482,-41100
1628271895.97,-529,-41100
1628271895.99,-550,-41100
1628271896.01,-524,-41100
1628271896.03,-528,-41160
1628271896.05,-542,-41160
1628271896.07,-610,-41220
1628271896.09,-469,-41100
1628271896.11,-504,-41040
1628271896.13,-638,-41040
1628271896.15,-527,-40980
1628271896.17,-505,-41040
1628271896.19,-587,-41040
1628271896.21,-595,-41100
1628271896.23,-457,-41100
1628271896.25,-578,-41100
1628271896.27,-564,-41100
1628271896.29,-530,-41100
1628271896.31,-536,-41100
1628271896.33,-600,-41100
1628271896.35,-603,-41100
1628271896.36,-473,-41100
1628271896.39,-609,-41100
1628271896.41,-560,-41160
1628271896.43,-517,-41100
1628271896.45,-543,-41100
1628271896.47,-578,-41100
1628271896.48,-623,-41100
1628271896.51,-451,-41100
1628271896.53,-529,-41100
1628271896.55,-530,-41100
1628271896.57,-504,-41100
1628271896.59,-575,-41100
1628271896.61,-602,-41100
1628271896.63,-556,-41100
1628271896.65,-474,-41100
1628271896.67,-560,-41100
1628271896.69,-541,-41100
1628271896.71,-518,-41100
1628271896.73,-536,-41100
1628271896.75,-606,-41100
1628271896.77,-603,-41100
1628271896.79,-493,-41100
1628271896.81,-596,-41100
1628271896.83,-487,-41100
1628271896.85,-500,-41100
1628271896.87,-544,-41100
1628271896.89,-556,-41100
1628271896.91,-551,-41100
1628271896.93,-481,-41100
1628271896.95,-600,-41040
1628271896.97,-519,-41040
1628271896.99,-524,-40980
1628271897.01,-542,-40980
1628271897.03,-581,-40980
1628271897.04,-621,-40980
1628271897.07,-467,-40980
1628271897.09,-574,-41040
1628271897.11,-517,-41040
1628271897.13,-517,-41100
1628271897.15,-531,-41100
1628271897.17,-602,-41100
1628271897.19,-536,-41100
1628271897.21,-478,-41100
1628271897.23,-537,-41040
1628271897.25,-495,-41040
1628271897.27,-504,-41040
1628271897.29,-568,-41100
1628271897.31,-595,-41100
1628271897.33,-622,-41040
1628271897.35,-490,-41040
1628271897.37,-561,-41040
1628271897.39,-523,-41040
1628271897.41,-516,-41040
1628271897.43,-568,-41040
1628271897.45,-583,-40980
1628271897.47,-610,-40980
1628271897.49,-475,-40980
1628271897.51,-515,-40980
1628271897.53,-570,-41040
1628271897.55,-517,-41040
1628271897.57,-511,-41100
1628271897.59,-579,-41100
1628271897.61,-624,-41220
1628271897.63,-444,-41160
1628271897.65,-511,-40980
1628271897.67,-645,-40860
1628271897.69,-542,-40920
1628271897.71,-533,-40920
1628271897.73,-543,-40980
1628271897.75,-629,-41040
1628271897.77,-491,-41040
1628271897.79,-501,-41040
1628271897.81,-568,-41040
1628271897.83,-503,-41040
1628271897.85,-517,-41040
1628271897.87,-502,-41040
1628271897.89,-629,-41040
1628271897.91,-478,-41040
1628271897.93,-491,-41040
1628271897.95,-602,-41040
1628271897.97,-534,-41040
1628271897.99,-520,-41040
1628271898.01,-489,-41040
1628271898.03,-617,-41040
1628271898.05,-479,-41040
1628271898.07,-493,-41040
1628271898.09,-591,-41100
1628271898.11,-549,-41100
1628271898.13,-537,-41100
1628271898.15,-501,-41100
1628271898.17,-633,-41100
1628271898.19,-494,-41100
1628271898.21,-531,-41100
1628271898.23,-592,-41040
1628271898.25,-535,-41040
1628271898.27,-552,-41040
1628271898.29,-486,-41100
1628271898.31,-603,-41100
1628271898.33,-483,-41100
1628271898.35,-486,-41100
1628271898.37,-550,-41040
1628271898.39,-549,-41040
1628271898.41,-532,-41040
1628271898.43,-478,-41040
1628271898.45,-642,-41040
1628271898.47,-494,-41040
1628271898.49,-527,-41040
1628271898.51,-570,-41040
1628271898.53,-586,-41040
1628271898.55,-557,-40980
1628271898.57,-499,-40980
1628271898.59,-609,-40980
1628271898.61,-484,-40980
1628271898.63,-520,-40980
1628271898.65,-532,-40980
1628271898.67,-549,-40980
1628271898.69,-581,-40980
1628271898.71,-470,-40980
1628271898.73,-520,-40980
1628271898.75,-513,-40980
1628271898.77,-529,-40980
1628271898.79,-573,-40980
1628271898.81,-546,-40980
1628271898.83,-622,-40980
1628271898.85,-513,-40980
1628271898.87,-513,-40980
1628271898.89,-606,-40980
1628271898.91,-532,-40980
1628271898.93,-560,-40980
1628271898.95,-531,-41040
1628271898.97,-596,-41040
1628271898.99,-472,-41100
1628271899.01,-528,-41100
1628271899.03,-538,-41100
1628271899.05,-556,-41100
1628271899.07,-595,-41100
1628271899.09,-460,-41040
1628271899.11,-563,-40980
1628271899.13,-540,-40980
1628271899.14,-512,-41040
1628271899.17,-532,-41040
1628271899.19,-554,-41100
1628271899.21,-559,-41100
1628271899.23,-509,-41100
1628271899.24,-605,-41100
1628271899.27,-540,-41100
1628271899.29,-519,-41100
1628271899.31,-553,-41100
1628271899.33,-580,-41100
1628271899.35,-618,-41100
1628271899.37,-466,-41100
1628271899.39,-583,-41100
1628271899.41,-492,-41040
1628271899.43,-492,-41040
1628271899.45,-564,-41040
1628271899.47,-578,-41100
1628271899.49,-555,-41100
1628271899.51,-509,-41100
1628271899.53,-604,-41040
1628271899.55,-568,-41040
1628271899.57,-547,-41040
1628271899.59,-533,-41040
1628271899.61,-561,-41040
1628271899.63,-621,-41040
1628271899.65,-468,-41040
1628271899.67,-548,-41040
1628271899.69,-640,-41100
1628271899.71,-527,-41100
1628271899.73,-527,-40980
1628271899.75,-582,-40860
1628271899.77,-619,-40800
1628271899.79,-471,-40860
1628271899.81,-489,-40920
1628271899.83,-607,-40980
1628271899.85,-550,-41040
1628271899.87,-519,-41040
1628271899.89,-490,-41040
1628271899.91,-640,-41040
1628271899.93,-512,-40980
1628271899.95,-509,-40980
1628271899.97,-570,-40980
1628271899.99,-539,-40980
1628271900.01,-526,-41100
1628271900.03,-486,-41160
1628271900.05,-626,-41160
1628271900.07,-556,-41100
1628271900.09,-489,-41100
1628271900.11,-536,-41100
1628271900.13,-550,-41040
1628271900.15,-582,-41040
1628271900.17,-465,-40980
1628271900.19,-512,-40980
1628271900.21,-545,-40980
1628271900.23,-523,-40980
1628271900.25,-578,-40980
1628271900.27,-538,-40980
1628271900.29,-613,-40980
1628271900.31,-532,-40980
1628271900.33,-524,-40980
1628271900.35,-601,-40980
1628271900.37,-612,-40980
1628271900.39,-568,-40980
1628271900.41,-478,-40980
1628271900.43,-512,-40980
1628271900.45,-642,-40980
1628271900.47,-527,-40980
1628271900.49,-512,-40980
1628271900.51,-571,-40980
1628271900.53,-625,-40980
1628271900.55,-452,-40980
1628271900.57,-495,-41040
1628271900.59,-604,-41040
1628271900.61,-542,-41040
1628271900.63,-535,-41100
1628271900.65,-530,-41040
1628271900.67,-638,-41040
1628271900.69,-518,-41040
1628271900.71,-507,-40980
1628271900.73,-548,-40980
1628271900.75,-557,-40980
1628271900.77,-594,-40980
1628271900.79,-476,-41040
1628271900.81,-516,-40980
1628271900.83,-544,-40980
1628271900.85,-531,-40980
1628271900.87,-576,-40980
1628271900.89,-466,-40980
1628271900.91,-611,-40980
1628271900.93,-527,-40980
1628271900.95,-508,-41040
1628271900.97,-588,-41100
1628271900.99,-589,-41160
1628271901.01,-558,-41160
1628271901.03,-478,-41160
1628271901.05,-593,-41160
1628271901.07,-536,-41160
1628271901.09,-540,-41100
1628271901.10,-524,-41040
1628271901.13,-547,-41040
1628271901.15,-645,-41040
1628271901.17,-479,-40980
1628271901.19,-512,-40980
1628271901.21,-551,-40980
1628271901.23,-518,-40980
1628271901.25,-537,-40980
1628271901.27,-483,-41040
1628271901.29,-611,-41040
1628271901.31,-503,-41040
1628271901.33,-503,-41040
1628271901.35,-565,-41040
1628271901.37,-554,-41040
1628271901.39,-528,-41040
1628271901.41,-514,-41040
1628271901.43,-635,-40980
1628271901.45,-520,-40980
1628271901.47,-507,-40980
1628271901.49,-564,-40980
1628271901.51,-554,-40980
1628271901.53,-596,-40980
1628271901.55,-488,-40980
1628271901.57,-521,-40980
1628271901.58,-614,-40860
1628271901.61,-511,-40800
1628271901.63,-548,-40860
1628271901.65,-514,-40860
1628271901.67,-607,-40920
1628271901.69,-524,-40980
1628271901.71,-516,-40980
1628271901.73,-520,-40980
1628271901.75,-593,-40980
1628271901.77,-641,-40980
1628271901.79,-474,-40980
1628271901.81,-521,-41040
1628271901.82,-649,-40980
1628271901.85,-525,-40980
1628271901.87,-539,-41040
1628271901.89,-572,-41040
1628271901.91,-611,-41040
1628271901.93,-514,-41040
1628271901.95,-493,-40980
1628271901.97,-599,-40980
1628271901.99,-542,-40980
1628271902.01,-534,-40980
1628271902.03,-472,-40980
1628271902.05,-594,-40980
1628271902.07,-624,-40980
1628271902.09,-555,-41040
1628271902.11,-573,-41040
1628271902.13,-507,-41040
1628271902.15,-610,-41040
1628271902.17,-528,-40980
1628271902.19,-530,-40980
1628271902.21,-555,-40980
1628271902.23,-615,-40980
1628271902.25,-557,-40920
1628271902.26,-482,-40920
1628271902.29,-514,-40980
1628271902.31,-602,-40980
1628271902.33,-534,-40980
1628271902.35,-319,-40980
1628271902.37,-159,-40260
1628271902.39,-38,-36600
1628271902.41,-125,-29100
1628271902.43,-488,-19020
1628271902.45,-310,-8760
1628271902.46,-303,-2040
1628271902.49,-303,1200
1628271902.51,-303,2220
1628271902.52,-301,2040
1628271902.55,-303,1440
1628271902.57,-301,840
1628271902.58,-301,300
1628271902.61,-301,0
1628271902.63,-299,-60
1628271902.65,-301,-120
1628271902.66,-301,-120
1628271902.69,-297,-120
1628271902.71,-301,-60
1628271902.73,-301,0
1628271902.74,-301,0
1628271902.77,-299,0
1628271902.79,-301,0
1628271902.81,-301,0
1628271902.83,-299,0
1628271902.85,-301,0
1628271902.87,-301,0
1628271902.88,-299,0
1628271902.91,-299,0
1628271902.93,-301,0
1628271902.95,-299,0
1628271902.97,-301,0
1628271902.99,-301,0
1628271903.01,-301,0
1628271903.03,-301,0
1628271903.05,-301,0
1628271903.07,-301,0
1628271903.08,-301,0
1628271903.11,-299,0
1628271903.13,2,0
1628271903.15,0,240
1628271903.17,2,2400
1628271903.19,-2,5340
1628271903.21,-2,7680
1628271903.23,0,8700
1628271903.25,0,8520
1628271903.27,0,7260
1628271903.29,0,4980
1628271903.31,0,2760
1628271903.33,0,840
1628271903.35,-2,-360
1628271903.37,0,-1140
1628271903.39,2,-1440
1628271903.41,0,-1500
1628271903.43,0,-1440
1628271903.45,2,-1380
1628271903.47,0,-1260
1628271903.49,0,-1200
1628271903.51,-2,-1200
1628271903.53,0,-1200
1628271903.55,-2,-1200
1628271903.57,0,-1020
1628271903.58,0,-720
1628271903.61,0,-420
1628271903.63,-2,-180
1628271903.64,0,0
1628271903.66,0,0
1628271903.69,-2,0
1628271903.71,-2,0
1628271903.73,0,0
1628271903.75,0,0
1628271903.77,0,0
1628271903.79,2,0
1628271903.81,0,0
1628271903.83,-2,0
1628271903.85,0,0
1628271903.87,0,0
1628271903.89,0,0
1628271903.91,-2,0
1628271903.93,0,0
1628271903.95,0,0
1628271903.97,0,0
1628271903.98,0,0
1628271904.01,-2,0
1628271904.03,0,0
1628271904.05,-2,0
1628271904.07,0,0
1628271904.09,-2,0
1628271904.11,0,0
1628271904.13,-2,0
1628271904.15,-2,0
1628271904.17,0,0
1628271904.18,0,0
1628271904.21,0,0
1628271904.23,0,0
1628271904.25,0,0
1628271904.27,-2,0
1628271904.29,0,0
1628271904.31,0,0
1628271904.33,0,0
1628271904.35,0,0
1628271904.37,0,0
1628271904.39,0,0
1628271904.41,0,0
1628271904.43,-2,0
1628271904.45,-2,0
1628271904.47,-2,0
1628271904.49,0,0
1628271904.51,0,0
1628271904.53,0,0
1628271904.55,-2,0
1628271904.57,-2,0
1628271904.59,0,0
1628271904.61,-2,0
1628271904.63,0,0
1628271904.65,0,0
1628271904.67,0,0
1628271904.69,-2,0
1628271904.71,0,0
1628271904.73,0,0
1628271904.75,0,0
1628271904.77,-2,0
1628271904.79,0,0
1628271904.81,-2,0
1628271904.82,-2,0
1628271904.85,-2,0
1628271904.87,0,0
1628271904.88,0,0
1628271904.91,0,0
1628271904.93,0,0
1628271904.95,-2,0
1628271904.97,0,0
1628271904.99,-2,0
1628271905.01,0,0
1628271905.03,-2,0
1628271905.04,0,0
1628271905.07,0,0
1628271905.09,0,0
1628271905.11,0,0
1628271905.13,-2,0
1628271905.14,2,0
1628271905.17,0,0
1628271905.19,0,0
1628271905.21,-2,0
1628271905.23,0,0
1628271905.25,-2,0
1628271905.26,0,0
1628271905.29,0,0
1628271905.31,0,0
1628271905.33,0,0
1628271905.35,-2,0
1628271905.37,-2,0
1628271905.38,0,0
1628271905.41,0,0
1628271905.43,-2,0
1628271905.45,-2,0
1628271905.47,-2,0
1628271905.49,0,0
1628271905.51,0,0
1628271905.53,0,0
1628271905.55,0,0
1628271905.57,-2,0
1628271905.59,-2,0
1628271905.61,0,0
1628271905.63,0,0
1628271905.65,0,0
1628271905.67,0,0
1628271905.69,0,0
1628271905.71,-2,0
1628271905.73,-2,0
1628271905.75,0,0
1628271905.77,0,0
1628271905.79,0,0
1628271905.81,-2,0
1628271905.82,-3,0
1628271905.84,0,0
1628271905.87,0,0
1628271905.89,2,0
1628271905.91,-2,0
1628271905.92,-2,0
1628271905.94,0,0
1628271905.97,-2,0
1628271905.98,0,0
1628271906.01,-2,0
1628271906.03,-2,0
1628271906.05,0,0
1628271906.07,0,0
1628271906.09,0,0
1628271906.11,0,0
1628271906.13,0,0
1628271906.15,0,0
1628271906.17,-2,0
1628271906.18,0,0
1628271906.21,0,0
1628271906.23,0,0
1628271906.25,-3,0
1628271906.27,0,0
